1,1993,0.33,4.6,13.74,1.46,0.19,0.43,2.48,73.55,5.64,0.51,0.44,0.33,0.12,0.07
1,1993,0.29,7.3,13.62,1.52,0.18,0.43,2.54,73.09,6.15,0.48,0.41,0.29,0.15,0.07
1,1994,0.26,11.25,14.56,1.42,0.26,0.48,2.88,71.1,6.38,0.56,0.58,0.36,0.18,0.1
1,1994,0.24,32.05,14.42,1.2,0.24,0.48,2.45,70.81,6.81,0.55,0.56,0.35,0.17,0.09
1,1994,0.24,7.3,14.67,1.47,0.22,0.04,2.53,70.59,6.65,0.56,0.6,0.36,0.18,0.13
1,1994,0.57,37.55,16.52,1.88,0.15,0.33,1.98,59.06,17.24,0.65,0.37,0.24,0.09,0.05
1,1994,0.56,36.45,16.94,1.72,0.15,0.33,2.02,58.62,17.15,0.69,0.37,0.25,0.08,0.05
1,1994,0.56,23.4,17.1,0.37,0.14,0.28,1.69,58.34,17.42,0.67,0.38,0.25,0.09,0.05
1,1994,0.53,17.3,14.12,1.77,0.13,0.32,1.39,70.28,8.44,0.53,0.42,0.29,0.12,0.08
1,1994,0.38,15.5,14.62,1.4,0.24,0.49,2.78,70.8,6.63,0.56,0.55,0.34,0.16,0.1
1,1994,0.33,25,14.71,1.46,0.16,0.36,2.09,69.66,7.91,0.53,0.51,0.34,0.15,0.09
1,1994,1.13,6.5,14.92,1.47,0.15,0.33,2.63,69.2,8.34,0.52,0.46,0.29,0.13,0.07
1,1994,1.13,5,14.55,1.75,0.19,0.42,2.65,69.25,8.15,0.49,0.48,0.29,0.13,0.07
1,1994,1.21,6.7,15.02,1.78,0.17,0.42,2.55,69.62,7.98,0.52,0.44,0.28,0.12,0.06
1,1994,1.21,6.95,13.77,1.91,0.19,0.43,2.49,70.63,8.07,0.53,0.45,0.3,0.13,0.07
1,1994,2.17,8.1,13.81,1.1,0.2,0.24,2.35,71.09,7.94,0.54,0.41,0.26,0.12,0.06
1,1994,2.26,7.6,12.83,1.78,0.17,0.42,2.39,72.03,7.75,0.52,0.45,0.32,0.13,0.07
1,1994,3.13,6.9,12.68,1.64,0.03,0.4,2.29,72.57,7.07,0.51,0.43,0.33,0.12,0.06
1,1994,2.62,8.75,13.61,1.77,0.17,0.34,2.38,71.91,7.13,0.5,0.39,0.27,0.1,0.06
1,1994,0.16,17.75,15.13,2.35,0.34,0.66,3.28,65.96,9.01,0.78,0.61,0.31,0.17,0.1
1,1994,0.14,19.85,14.84,1.61,0.22,0.56,2.44,68.29,7.86,0.66,0.59,0.3,0.17,0.1
1,1994,0.36,20,14.12,1.86,0.22,0.43,2.98,69.7,7.68,0.58,0.54,0.32,0.17,0.11
1,1994,0.24,13.45,14.06,1.16,0.15,0.3,2.56,69.44,8.21,0.62,0.6,0.36,0.17,0.12
1,1994,0.29,20.55,13.4,1.82,0.39,0.7,3.6,69.16,8.02,0.73,0.59,0.3,0.16,0.09
1,1994,0.22,19,13.2,1.32,0.31,0.54,9.57,64.99,6.69,0.65,0.65,0.33,0.18,0.12
1,1994,0.88,18.65,14.97,1.93,0.22,0.49,2.55,69.73,8,0.54,0.44,0.3,0.12,0.06
1,1994,0.95,15,15.2,1.99,0.17,0.5,2.56,69.33,7.98,0.52,0.42,0.28,0.09,0.05
1,1994,0.37,20.65,12.8,1.47,0.24,0.5,2.66,72.63,6.69,0.61,0.55,0.35,0.16,0.09
1,1994,0.31,20.05,11.26,1.59,0.24,0.54,2.57,74.02,6.96,0.63,0.54,0.36,0.16,0.09
1,1994,0.29,19.6,14.28,1.5,0.22,0.43,2.77,71.24,6.8,0.58,0.57,0.36,0.17,0.1
1,1994,0.67,19.45,13.33,1.49,0.19,0.47,2.2,73.68,6.17,0.53,0.43,0.32,0.13,0.08
1,1994,1.28,30.75,14.17,1.71,0.15,0.42,2.02,71.62,7.12,0.54,0.38,0.31,0.11,0.07
1,1994,0.74,21.8,14.22,1.3,0.17,0.41,2.12,72.36,6.87,0.52,0.41,0.31,0.12,0.08
1,1994,0.75,25.9,14.38,1.9,0.2,0.42,2.64,70.42,7.65,0.57,0.5,0.31,0.14,0.09
1,1994,0.39,22.25,15.33,2.03,0.24,0.47,3.06,67.89,8.08,0.59,0.57,0.3,0.17,0.1
1,1994,0.45,16.7,15.64,2.17,0.25,0.5,2.88,67.69,8.24,0.65,0.55,0.3,0.16,0.11
1,1994,0.44,25.4,13.47,1.41,0.19,0.43,2.71,69.98,8.53,0.64,0.5,0.34,0.16,0.1
1,1994,0.19,19.35,11.89,1.67,0.29,0.59,3.15,70.59,7.88,0.65,0.5,0.29,0.14,0.08
1,1994,0.25,15.45,12.85,1.81,0.3,0.58,3.28,70.71,7.84,0.64,0.5,0.28,0.14,0.08
1,1994,0.16,13.4,12.34,1.35,0.23,0.44,2.75,72.48,6.7,0.54,0.51,0.34,0.16,0.09
1,1994,0.13,20.55,13.5,1.78,0.18,0.42,2.48,71.18,7.56,0.51,0.47,0.33,0.15,0.09
1,1995,0.42,6.5,12.49,1.59,0.13,0.33,2.61,73.27,6.56,0.46,0.49,0.36,0.14,0.08
1,1995,1.2,14.5,9.09,1.45,0.16,0.41,2.51,78.08,5.32,0.45,0.48,0.38,0.14,0.08
1,1995,0.21,4.75,9.48,1.54,0.14,0.37,2.42,77.53,5.68,0.41,0.45,0.35,0.14,0.08
1,1995,0.21,4.5,13.3,1.27,0.23,0.47,2.96,73.96,4.67,0.49,0.5,0.35,0.19,0.09
1,1995,0.21,5.75,14.11,1.42,0.17,0.4,2.54,72.87,5.6,0.46,0.43,0.32,0.18,0.07
1,1995,0.28,8.75,22.09,1.88,0.14,0.3,2.4,65.44,5.84,0.38,0.33,0.19,0.12,0.04
